School Name,Niche Rank,Number of Students,Number of Seniors,Proportion interested in UT,Number of Seniors interested
Brennan High School,459,2710,677.5,0.134464514,91.09970808
Klein Cain High School,460,3379,844.75,0.151462995,127.9483649
Hirschi High School,461,894,223.5,0.14665127,32.77655889
Shiner High School,462,327,81.75,0.125,10.21875
Muenster High School,463,228,57,0.09375,5.34375
Memorial High School,464,2106,526.5,0.176546392,92.95167526
Hardin-Jefferson High School,465,702,175.5,0.096385542,16.91566265
Whitehouse High School,466,1469,367.25,0.118705036,43.59442446
Nazareth School,467,248,62,0.066176471,4.102941176
Gruver High School,468,162,40.5,0.066079295,2.676211454
Iraan High School,469,135,33.75,0.098591549,3.327464789
Rivercrest High School,470,197,49.25,0.082969432,4.086244541
Tyler ISD Early College High School,471,350,87.5,0.084745763,7.415254237
IDEA College Prep - San Juan,472,744,186,0.123505976,22.97211155
Holland High School,473,214,53.5,0.078740157,4.212598425
Premier High School of Huntsville,474,57,14.25,0.12,1.71
Knippa Independent School District,475,448,112,0.142857143,16
Shallowater High School,476,462,115.5,0.06362379,7.348547718
Woden High School,477,224,56,0.083102493,4.653739612
Young Men's Leadership Academy,478,383,95.75,0.125,11.96875
Skidmore-Tynan High School,479,266,66.5,0.128089888,8.517977528
Fredericksburg High School,480,994,248.5,0.156217883,38.82014388
Treetops School International,481,387,96.75,0.1,9.675
West Texas High School,482,220,55,0.094674556,5.207100592
Marine Creek Collegiate High School,483,355,88.75,0.111788618,9.921239837
Kathlyn Joy Gilliam Collegiate Academy,484,373,93.25,0.128297362,11.96372902
Belton High School,485,3048,762,0.157561362,120.0617577
Palmer High School,486,326,81.5,0.111913357,9.120938628
Mansfield Summit High School,487,2029,507.25,0.124326267,63.06449874
Clifton High School,488,287,71.75,0.121654501,8.728710462
Bell High School,489,2300,575,0.139784946,80.37634409
Tioga School,490,709,177.25,0.077922078,13.81168831
Harmony Science Academy - Pflugerville,491,903,225.75,0.195849546,44.21303502
Panhandle High School,492,212,53,0.063670412,3.374531835
Burleson Centennial High School,493,1895,473.75,0.115061728,54.51049383
J.M. Hanks High School,494,1559,389.75,0.113533152,44.24954587
Van Alstyne High School,495,516,129,0.115264798,14.86915888
Hughes Springs High School,496,331,82.75,0.085820896,7.101679104
Jack C. Hays High School,497,2524,631,0.195703432,123.4888656
Bland High School,498,200,50,0.108490566,5.424528302
YES Prep - Southwest,499,1010,252.5,0.070402299,17.77658046
Giddings High School,500,609,152.25,0.120155039,18.29360465
Amarillo High School,501,2139,534.75,0.106498195,56.94990975
China Spring High School,502,842,210.5,0.10828548,22.79409352
Palacios High School,503,384,96,0.148725212,14.2776204
Idea Montopolis College Preparatory,504,738,184.5,0.170403587,31.43946188
Cypress Park High School,505,2712,678,0.140056022,94.95798319
Lakeview Centennial High School,506,2448,612,0.139463935,85.35192852
Denison High School,507,1318,329.5,0.111111111,36.61111111
Aristoi Classical Upper School,508,516,129,0.108108108,13.94594595
Ore City High School,509,272,68,0.09569378,6.507177033
Magnolia West High School,510,2049,512.25,0.125564589,64.3204607
Lindsay High School,511,242,60.5,0.066666667,4.033333333
Mickey Leland College Preparatory Academy For Young Men,512,479,119.75,0.120805369,14.46644295
Princeton High School,513,1418,354.5,0.130208333,46.15885417
Harmony Science Academy - Beaumont,514,561,140.25,0.122340426,17.15824468
Pathways High School,515,28,7,0.136363636,0.954545455
Pittsburg High School,516,706,176.5,0.110215054,19.45295699
Milano High School,517,158,39.5,0.121311475,4.791803279
Midlothian High School,518,1981,495.25,0.116001834,57.4499083
Nederland High School,519,1448,362,0.118331717,42.83608147
Preparatory for Early College High School,520,539,134.75,0.099765258,13.44336854
Flatonia Secondary School,521,309,77.25,0.147727273,11.41193182
Stratford High School,522,157,39.25,0.074418605,2.920930233
Mount Pleasant High School,523,1528,382,0.118621307,45.3133393
Chisum High School,524,318,79.5,0.09771987,7.768729642
Berkner High School,525,2535,633.75,0.159015132,100.77584
Cedars Academy Next Generation High School at Highland,526,109,27.25,0.169491525,4.618644068
Spearman High School,527,258,64.5,0.048387097,3.120967742
Lamar High School,528,2807,701.75,0.170258621,119.4789871
Centerville Junior/Senior High School,529,280,70,0.099601594,6.972111554
Early College High School,530,329,82.25,0.132644956,10.91004766
Canadian High School,531,264,66,0.07421875,4.8984375
Chapin High School,532,1830,457.5,0.149902153,68.58023483
Parkland High School,533,1625,406.25,0.13484441,54.78054168
Blanco High School,534,352,88,0.120204604,10.57800512
Columbus High School,535,464,116,0.143167028,16.60737527
Red Oak High School,536,1961,490.25,0.129859388,63.66356493
Randall High School,537,1721,430.25,0.096271186,41.42067797
Keys H.S.,538,80,20,0.074074074,1.481481481
Fruitvale High School,539,103,25.75,0.092592593,2.384259259
Canyon Lake High School,540,1105,276.25,0.156791249,43.3135825
Pleasant Grove High School,541,724,181,0.104725415,18.95530013
Central High School,542,3057,764.25,0.131208609,100.2761796
International Leadership of Texas - Keller-Saginaw High School,543,616,154,0.151291513,23.29889299
Pace Early College High School,544,2067,516.75,0.146386431,75.64518805
Caldwell High School,545,515,128.75,0.097402597,12.54058442
Bel Air High School,546,1948,487,0.127835052,62.2556701
Windthorst High School,547,120,30,0.076923077,2.307692308
Bells High School,548,277,69.25,0.097122302,6.725719424
Salado High School,549,643,160.75,0.125904486,20.23914616
Texas Connections Academy at Houston,550,6295,1573.75,0.163540445,257.3717761
Conroe High School,551,4243,1060.75,0.122045455,129.4597159
Christoval High School,552,292,73,0.093023256,6.790697674
Stamford High School,553,199,49.75,0.068452381,3.405505952
Ranchview High School,554,913,228.25,0.168117883,38.3729069
Stockdale High School,555,232,58,0.109649123,6.359649123
Celeste High School,556,173,43.25,0.114427861,4.949004975
Munday Secondary School,557,125,31.25,0.058441558,1.826298701
International Leadership of Texas - Garland High School,558,646,161.5,0.120147874,19.4038817
Caddo Mills High School,559,521,130.25,0.11013986,14.34571678
Stephenville High School,560,1061,265.25,0.103508772,27.45570175
Ray High School,561,1824,456,0.156547619,71.38571429
Boys Ranch High School,562,190,47.5,0.135416667,6.432291667
Harmony Science Academy - San Antonio,563,750,187.5,0.128995434,24.18664384
Round Rock Independent School District,564,50953,12738.25,0.226399454,2883.932843
Advanced Learning Academy,565,894,223.5,0.169014085,37.77464789
Premier High School of North Austin,566,87,21.75,0.179487179,3.903846154
Marshall High School,567,2544,636,0.153097345,97.3699115
Union Grove High School,568,216,54,0.106965174,5.776119403
S. & S. Cons H.S.,569,276,69,0.098684211,6.809210526
Burkburnett High School,570,849,212.25,0.115812918,24.58129176
Bridge City High School,571,797,199.25,0.112707182,22.45690608
International Leadership of Texas - Arlington-Grand Prairie High School,572,580,145,0.130693069,18.95049505
Celina High School,573,849,212.25,0.11627907,24.68023256
Rockwall Quest Academy,574,62,15.5,0.096774194,1.5
Decatur High School,575,1022,255.5,0.11988912,30.63167013
Burleson High School,576,1699,424.75,0.131868132,56.01098901
Iowa Park High School,577,546,136.5,0.082191781,11.21917808
Edna High School,578,414,103.5,0.13164557,13.62531646
IDEA College Prep - San Benito,579,757,189.25,0.125733445,23.79505448
Sabine High School,580,466,116.5,0.089141005,10.38492707
New Tech H.S. at B.F. Darrell H.S.,581,269,67.25,0.130937099,8.805519897
Early College Academy,582,324,81,0.101449275,8.217391304
KIPP Houston High School,583,675,168.75,0.113774734,19.1994863
Sudan High School,584,159,39.75,0.085173502,3.385646688
Hutto High School,585,2245,561.25,0.17486631,98.14371658
Americas High School,586,2592,648,0.136019708,88.14077072
New Deal High School,587,229,57.25,0.064896755,3.715339233
Canton High School,588,636,159,0.109660574,17.43603133
Cross Roads High School,589,144,36,0.091503268,3.294117647
Providence Catholic School,590,232,58,0.133333333,7.733333333
Valley School,591,200,50,0.065217391,3.260869565
Edcouch-Elsa Academy,592,23,5.75,0.181818182,1.045454545
Buffalo High School,593,285,71.25,0.079268293,5.647865854
De Leon H.S.,594,203,50.75,0.0875,4.440625
Levelland High School,595,727,181.75,0.081602374,14.83123145
Horn High School,596,2902,725.5,0.140089419,101.6348733
Tascosa High School,597,2230,557.5,0.119047619,66.36904762
Idea Edinburg College Preparatory,598,709,177.25,0.11487965,20.36241794
Eastlake High School,599,2334,583.5,0.127549467,74.42511416
Harmony School of Innovation - Brownsville,600,474,118.5,0.11627907,13.77906977
IDEA College Prep - Mission,601,785,196.25,0.104005168,20.41101421
Sterling High School,602,2124,531,0.147304833,78.21886617
South Grand Prairie High School,603,3322,830.5,0.153664809,127.6186241
Boles High School,604,165,41.25,0.116591928,4.80941704
Itasca High School,605,200,50,0.115702479,5.785123967
Young Womens Leadership Academy at Bill Arnold,606,837,209.25,0.117252931,24.53517588
Douglass School,607,460,115,0.092857143,10.67857143
Legacy of Educational Excellence H.S.,608,2525,631.25,0.159211524,100.5022745
Gilmer High School,609,705,176.25,0.128733997,22.689367
Abilene High School,610,2139,534.75,0.113786875,60.84753161
Rowe High School,611,2135,533.75,0.147828588,78.90350877
St. Andrew's Episcopal School,612,973,243.25,0.244680851,59.51861702
Williams High School,613,1186,296.5,0.154929577,45.93661972
Brazoswood High School,614,2475,618.75,0.138041734,85.41332263
Colorado High School,615,224,56,0.073529412,4.117647059
McMullen County School,616,288,72,0.067567568,4.864864865
Idea Walzem College Preparatory,617,596,149,0.114285714,17.02857143
Ut Tyler University Academy at Tyler,618,324,81,0.141025641,11.42307692
Premier High School of Lubbock,619,154,38.5,0.074074074,2.851851852
Porter High School,620,2136,534,0.127906977,68.30232558
Citylab H S,621,203,50.75,0.168539326,8.553370787
Galena Park Isd Career & Technical Echs,622,487,121.75,0.133333333,16.23333333
Albany Junior/Senior High School,623,243,60.75,0.082872928,5.034530387
Winnsboro High School,624,454,113.5,0.059642147,6.769383698
Anderson-Shiro Junior/Senior High School,625,476,119,0.089403974,10.63907285
Peter E. Hyland Center,626,144,36,0.087912088,3.164835165
IDEA College Prep - Pharr,627,760,190,0.101395349,19.26511628
East Chambers High School,628,442,110.5,0.096322242,10.64360771
Elkhart High School,629,378,94.5,0.082644628,7.809917355
Harleton High School,630,233,58.25,0.101265823,5.898734177
Kirbyville High School,631,393,98.25,0.10021322,9.845948827
Ingram Tom Moore High School,632,314,78.5,0.119675456,9.394523327
Bullard High School,633,769,192.25,0.090707965,17.43860619
Port Neches-Groves High School,634,1493,373.25,0.116814159,43.60088496
Life School - Oak Cliff,635,1503,375.75,0.113095238,42.49553571
Corsicana High School,636,1650,412.5,0.137815126,56.8487395
Legacy High School,637,2304,576,0.156172181,89.95517609
Mabank High School,638,1015,253.75,0.132183908,33.54166667
Cypress Lakes High School,639,3110,777.5,0.148160103,115.1944803
Premier High School of San Antonio,640,123,30.75,0.111111111,3.416666667
Leon High School,641,297,74.25,0.080717489,5.993273543
Peaster High School,642,392,98,0.095555556,9.364444444
Cooper High School,643,1855,463.75,0.120053655,55.67488263
PSJA Early College High School,644,2371,592.75,0.106097141,62.88908026
Robinson High School,645,707,176.75,0.10293272,18.19335825
Irion High School,646,130,32.5,0.106382979,3.457446809
IDEA College Prep - Alamo,647,727,181.75,0.073170732,13.29878049
Callisburg High School,648,328,82,0.105960265,8.688741722
Banquete High School,649,276,69,0.0995671,6.87012987
Ennis High School,650,1729,432.25,0.111042184,47.99798387
Groveton Junior/Senior High School,651,399,99.75,0.093617021,9.338297872
Gregory-Portland High School,652,1343,335.75,0.150971599,50.6887145
Aubrey High School,653,734,183.5,0.115440115,21.18326118
Guthrie School,654,107,26.75,0.056818182,1.519886364
YES Prep - Brays Oaks,655,982,245.5,0.07856094,19.28671072
Commerce High School,656,443,110.75,0.106343284,11.77751866
Redwater High School,657,323,80.75,0.064794816,5.232181425
Big Sandy School,658,503,125.75,0.072164948,9.074742268
Idea Weslaco Pike College Preparatory,659,664,166,0.074285714,12.33142857
Taft High School,660,2529,632.25,0.140862944,89.06059645
Madison High School,661,3172,793,0.142267386,112.8180375
International Leadership of Texas - Katy-Westpark High School,662,572,143,0.091954023,13.14942529
Edgewood High School,663,314,78.5,0.103225806,8.103225806
Azle Hornet Academy,664,52,13,0.16,2.08
Eastwood High School,665,2274,568.5,0.140929146,80.11821957
Mullin Main Campus,666,87,21.75,0.081081081,1.763513514
Barbara Cardwell Career Preparatory Center,667,313,78.25,0.090361446,7.070783133
Huntington High School,668,480,120,0.10261194,12.31343284
Hargrave High School,669,1081,270.25,0.109388458,29.56223084
Mt. Vernon High School,670,493,123.25,0.101769912,12.54314159
La Grange High School,671,614,153.5,0.118210863,18.14536741
Grady School,672,248,62,0.098484848,6.106060606
Smith High School,673,2004,501,0.147361206,73.82796436
Lufkin High School,674,2130,532.5,0.108858528,57.96716615
Akins High School,675,2752,688,0.197570148,135.9282615
Henderson High School,676,944,236,0.09073724,21.41398866
North Forney High School,677,1894,473.5,0.148148148,70.14814815
Mesquite High School,678,2627,656.75,0.141239571,92.7590882
Rockport-Fulton High School,679,875,218.75,0.1352657,29.58937198
Grand Oaks High School,680,3305,826.25,0.136842105,113.0657895
Montwood High School,681,2664,666,0.129562776,86.28880866
Eustace High School,682,456,114,0.114107884,13.00829876
Fox Technical High School,683,436,109,0.125995655,13.73352643
Forsan High School,684,414,103.5,0.078717201,8.147230321
Clarendon High School,685,123,30.75,0.060913706,1.873096447
Timpson Schools,686,691,172.75,0.060606061,10.46969697
Burleson Collegiate High School,687,254,63.5,0.121890547,7.740049751
Hillcrest High School,688,1371,342.75,0.151147099,51.80566802
Stars Accelerated H.S.,689,41,10.25,0.115384615,1.182692308
International Leadership of Texas - Katy-Westpark High School,690,572,143,0.091954023,13.14942529
Crockett High School,691,1540,385,0.185380889,71.37164245
Hill Country High School,692,27,6.75,0.114285714,0.771428571
Whitesboro High School,693,444,111,0.103578154,11.49717514
Cast Tech High School,694,380,95,0.139240506,13.2278481
Alpine High School,695,309,77.25,0.134715026,10.40673575
Bremond High School,696,132,33,0.072815534,2.402912621
Wolfe City High School,697,191,47.75,0.101973684,4.869243421
City View Junior/Senior High School,698,468,117,0.096685083,11.3121547
Edinburg North High School,699,2763,690.75,0.133736559,92.37852823
LaPoynor High School,700,130,32.5,0.090361446,2.936746988
Cushing Middle/High School,701,275,68.75,0.07804878,5.365853659
Harmony School of Innovation - Waco,702,573,143.25,0.144736842,20.73355263
Dawson High School,703,268,67,0.126760563,8.492957746
YES Prep - West,704,846,211.5,0.090631365,19.1685336
Shelbyville School,705,772,193,0.085820896,16.56343284
Fellowship Academy,706,350,87.5,0.076335878,6.679389313
Nueces Canyon Junior/Senior High School,707,114,28.5,0.127118644,3.622881356
Honey Grove High School,708,213,53.25,0.109375,5.82421875
Harmony School of Excellence - Austin,709,558,139.5,0.203900709,28.44414894
Saint Mary's Hall,710,735,183.75,0.234982332,43.17800353
Bellville High School,711,701,175.25,0.115776081,20.28975827
Bowie High School,712,2501,625.25,0.139404732,87.16280845
Allison Steele Enhanced Learning Center,713,92,23,0.149425287,3.436781609
Harmony School of Innovation - El Paso,714,1112,278,0.140776699,39.13592233
Weiss High School,715,1939,484.75,0.190621814,92.40392457
Rogers High School,716,282,70.5,0.094017094,6.628205128
Coleman High School,717,225,56.25,0.094224924,5.300151976
Keene H.S.,718,326,81.5,0.117647059,9.588235294
Valley Mills High School,719,204,51,0.101234568,5.162962963
Iola High School,720,214,53.5,0.056603774,3.028301887
Bruni High School,721,79,19.75,0.101639344,2.007377049
Mercedes Early College Academy,722,429,107.25,0.107178969,11.49494439
Riesel School,723,349,87.25,0.099697885,8.698640483
Ysleta High School,724,1472,368,0.100351425,36.92932448
Lamar High School,725,2771,692.75,0.137065132,94.95187026
Ropes School,726,485,121.25,0.049295775,5.977112676
West High School,727,436,109,0.089866157,9.79541109
Santo High School,728,259,64.75,0.064864865,4.2
Trimble Technical High School,729,1699,424.75,0.120485175,51.17607817
Pleasanton High School,730,1010,252.5,0.125874126,31.78321678
Azle High School,731,1915,478.75,0.122488976,58.64159726
Grand Saline High School,732,302,75.5,0.113402062,8.56185567
Academy of Choice,733,151,37.75,0.119565217,4.513586957
Crandall High School,734,1281,320.25,0.124886053,39.99475843
Central Heights High School,735,355,88.75,0.112121212,9.950757576
Harmony Science Academy - El Paso,736,975,243.75,0.151548673,36.93998894
Liberty High School,737,621,155.25,0.126229508,19.59713115
Hallettsville High School,738,351,87.75,0.112531969,9.874680307
North Shore Senior High School,739,4552,1138,0.124912083,142.1499508
Karnes City High School,740,335,83.75,0.120274914,10.07302405
YES Prep - North Central,741,978,244.5,0.085495283,20.9035967
Hico High School,742,272,68,0.065420561,4.448598131
Academy High School,743,455,113.75,0.136,15.47
Westwood High School,744,441,110.25,0.16025641,17.66826923
Harmony School of Innovation - Dallas,745,410,102.5,0.187878788,19.25757576
Millsap High School,746,306,76.5,0.080229226,6.137535817
The Academy of Creative Education,747,97,24.25,0.124324324,3.014864865
University High School,748,1684,421,0.140058766,58.96474045
Amarillo Collegiate Academy,749,466,116.5,0.076923077,8.961538462
Pine Tree High School,750,1246,311.5,0.13869863,43.20462329
Sealy High School,751,805,201.25,0.123775601,24.90983972
Joaquin High School,752,184,46,0.070866142,3.25984252
Whitewright High School,753,277,69.25,0.065625,4.54453125
McAllen High School,754,2195,548.75,0.153783119,84.38848675
Stony Point High IB World School,755,2666,666.5,0.189002558,125.9702046
Bryan Adams High School,756,2166,541.5,0.12961999,70.18922436
Mineola High School,757,493,123.25,0.100145138,12.34288824
South Texas Independent School District,758,4126,1031.5,0.165843486,171.0675557
Quanah High School,759,162,40.5,0.08125,3.290625
Roscoe Collegiate High School,760,290,72.5,0.068311195,4.95256167
Joshua High School,761,1098,274.5,0.116676848,32.02779475
Hawkins High School,762,388,97,0.108695652,10.54347826
New Hope High School,763,66,16.5,0.133333333,2.2
Nocona High School,764,256,64,0.063291139,4.050632911
Hartley School,765,245,61.25,0.060606061,3.712121212
Bishop High School,766,525,131.25,0.105065666,13.78986867
Temple High School,767,2185,546.25,0.183078394,100.0065727
Prairiland High School,768,318,79.5,0.091194969,7.25
Texas Leadership of San Angelo,769,1346,336.5,0.09375,31.546875
Houston Gateway Academy - Coral,770,906,226.5,0.100294985,22.71681416
Huston Academy,771,62,15.5,0.105263158,1.631578947
Eagle Pass High School,772,2273,568.25,0.150121909,85.30677464
Woodville High School,773,381,95.25,0.086956522,8.282608696
Alief Taylor High School,774,3091,772.75,0.136752137,105.6752137
Harmony School of Excellence - Laredo,775,420,105,0.157575758,16.54545455
Naaman Forest High School,776,2251,562.75,0.148446069,83.53802559
Premier High School of Dayton,777,79,19.75,0.088607595,1.75
Sweeny High School,778,568,142,0.104693141,14.86642599
Frank L. Madla Early College High School,779,196,49,0.136986301,6.712328767
Alvin High School,780,2821,705.25,0.113084112,79.75257009
May High School,781,123,30.75,0.076335878,2.347328244
St. Philip's College Early College High School,782,309,77.25,0.100760456,7.783745247
St. Andrew's Episcopal School,783,973,243.25,0.244680851,59.51861702
Newman International Academy of Arlington,784,962,240.5,0.118387909,28.47229219
Genesis High School,785,108,27,0.208333333,5.625
Hamilton High School,786,218,54.5,0.096103896,5.237662338
ASSETS Academy,787,116,29,0.069767442,2.023255814
Center High School,788,677,169.25,0.097963143,16.58026188
Jefferson High School,789,379,94.75,0.159021407,15.06727829
Ponder High School,790,448,112,0.088888889,9.955555556
Hanna Early College High School,791,2513,628.25,0.162387677,102.0200578
Brewer High School,792,2028,507,0.118896926,60.28074141
King High School,793,1549,387.25,0.128646223,49.81824981
Marion High School,794,461,115.25,0.111597374,12.86159737
Harmony Science Academy - Dallas,795,1134,283.5,0.127705628,36.20454545
Weimar High School,796,196,49,0.116040956,5.686006826
Arlington Heights High School,797,1923,480.75,0.126707132,60.91445372
Weatherford High School,798,2280,570,0.111063465,63.30617496
Premier High School of Pflugerville,799,134,33.5,0.214285714,7.178571429
Slaton High School,800,392,98,0.099047619,9.706666667
Martins Mill High School,801,212,53,0.103846154,5.503846154
World Languages Institute,802,463,115.75,0.111553785,12.9123506
Olney High School,803,161,40.25,0.077348066,3.113259669
Royse City High School,804,1904,476,0.127343245,60.61538462
Alvord High School,805,213,53.25,0.094594595,5.037162162
Cypress Springs High School,806,2443,610.75,0.14539749,88.80151674
PSJA Southwest Early College High School,807,1733,433.25,0.132401863,57.36310712
Troy High School,808,457,114.25,0.098039216,11.20098039
Stanton High School,809,273,68.25,0.121076233,8.263452915
PSJA North Early College High School,810,2126,531.5,0.134538879,71.5074141
Plains High School,811,127,31.75,0.045112782,1.432330827
Lubbock Christian School,812,347,86.75,0.042654028,3.700236967
West Brook Senior High School,813,2374,593.5,0.130140693,77.23850108
Waller High School,814,2128,532,0.104446309,55.56543624
San Benito Veterans Memorial Academy,815,788,197,0.193548387,38.12903226
Tolar High School,816,227,56.75,0.069565217,3.947826087
Mercedes Academic Academy,817,62,15.5,0.103448276,1.603448276
New Caney High School,818,2022,505.5,0.11890411,60.1060274
Anna High School,819,1005,251.25,0.128252788,32.22351301
New Diana High School,820,344,86,0.093596059,8.049261084
Anson High School,821,200,50,0.087866109,4.393305439
Silverton School,822,184,46,0.054545455,2.509090909
Pottsboro High School,823,426,106.5,0.097029703,10.33366337
Henrietta High School,824,276,69,0.083333333,5.75
Highland Independent School District,825,238,59.5,0.082352941,4.9
La Porte High School,826,1946,486.5,0.139195758,67.71873619
Wellman-Union School,827,325,81.25,0.101910828,8.280254777
Achieve Academy,828,121,30.25,0.081081081,2.452702703
Calhoun High School,829,1070,267.5,0.140730717,37.64546685
Harmony School of Ingenuity - Houston,830,642,160.5,0.102695764,16.48267009
New Waverly High School,831,304,76,0.101243339,7.694493783
Comstock School,832,205,51.25,0.090909091,4.659090909
El Dorado High School,833,2083,520.75,0.129102845,67.23030635
Orange Grove High School,834,509,127.25,0.1179941,15.01474926
Thorndale High School,835,214,53.5,0.108024691,5.779320988
Angleton High School,836,1949,487.25,0.141544118,68.96737132
Devine High School,837,559,139.75,0.13590034,18.99207248
OPTIONS Academic Alternative High School,838,46,11.5,0.074074074,0.851851852
Prairie Valley High School,839,82,20.5,0.095238095,1.952380952
Tarkington High School,840,510,127.5,0.120901639,15.41495902
Elysian Fields High School,841,270,67.5,0.102102102,6.891891892
Axtell High School,842,204,51,0.074675325,3.808441558
George Gervin Academy,843,867,216.75,0.107843137,23.375
Lone Oak High School,844,323,80.75,0.116352201,9.395440252
Blue Ridge High School,845,261,65.25,0.105042017,6.853991597
Abbott Independent School District,846,288,72,0.099099099,7.135135135
Roosevelt High School,847,2691,672.75,0.160047775,107.6721409
Jim Ned High School,848,384,96,0.060367454,5.795275591
Pampa High School,849,1044,261,0.096644295,25.22416107
Rio Grande City CISD Grulla High School,850,788,197,0.100828729,19.86325967
Kelton School,851,84,21,0.162790698,3.418604651
Harker Heights High School,852,2571,642.75,0.188824071,121.3666718
Sulphur Springs High School,853,1265,316.25,0.106626047,33.72048743
Garrison High School,854,220,55,0.092,5.06
Dumas High School,855,1125,281.25,0.096525097,27.1476834
United South High School,856,3184,796,0.112779133,89.7721899
Second Baptist School,857,1010,252.5,0.170598911,43.07622505
Houston Christian High School,858,470,117.5,0.176820208,20.77637444
Porter Early College High School,859,1942,485.5,0.120253165,58.38291139
Palo Duro High School,860,1920,480,0.117681845,56.48728563
Saint Thomas' Episcopal School,861,550,137.5,0.189274448,26.02523659
Ray Braswell H.S.,862,2321,580.25,0.135113904,78.39984289
Monterey High School,863,2112,528,0.089328537,47.16546763
Lockhart Pride High School,864,59,14.75,0.166666667,2.458333333
YES Prep - Gulfton,865,1055,263.75,0.074483776,19.64509587
Blooming Grove High School,866,285,71.25,0.096666667,6.8875
Crossroads High School,867,75,18.75,0.1,1.875
West Rusk High School,868,316,79,0.089068826,7.036437247
Irene L. Chavez Excel Academy,869,86,21.5,0.122137405,2.625954198
Heights High School,870,2291,572.75,0.146051514,83.65100481
Hamshire-Fannett High School,871,578,144.5,0.090203686,13.03443259
Dickinson High School,872,3139,784.75,0.139346719,109.3523374
Lumberton High School,873,1227,306.75,0.10007758,30.69879752
Rayburn High School,874,239,59.75,0.141509434,8.455188679
Atlanta High School,875,485,121.25,0.11001642,13.33949097
West Mesquite High School,876,2167,541.75,0.130618401,70.76251885
Harmony High School,877,323,80.75,0.119246862,9.6291841
Andrews High School,878,1163,290.75,0.135405105,39.36903441
KIPP Austin Collegiate,879,740,185,0.13150832,24.32903918
Brenham High School,880,1514,378.5,0.116438356,44.07191781
Granger School,881,457,114.25,0.13368984,15.27406417
Brazos High School,882,259,64.75,0.111764706,7.236764706
Bryan High School,883,2366,591.5,0.122479839,72.4468246
YES Prep - East End,884,948,237,0.074626866,17.68656716
La Vernia High School,885,1057,264.25,0.1215395,32.11681296
McLeod High School,886,124,31,0.075268817,2.333333333
Little Cypress-Mauriceville (LCM) High School,887,980,245,0.13448735,32.9494008
Dublin High School,888,496,124,0.088414634,10.96341463
Lampasas High School,889,999,249.75,0.165354331,41.29724409
Vanguard Mozart Elementary,890,983,245.75,0.157894737,38.80263158
Willis High School,891,2200,550,0.129218901,71.07039537
Sanderson Junior/Senior High School,892,125,31.25,0.11627907,3.63372093
Phoenix School at Southwest Schools,893,176,44,0.142857143,6.285714286
Corrigan-Camden High School,894,245,61.25,0.083700441,5.126651982
KIPP University Prep High School,895,814,203.5,0.126092385,25.65980025
Little Elm High School,896,2261,565.25,0.142949131,80.80199614
Cotton Center School,897,100,25,0.063829787,1.595744681
Jacksboro High School,898,277,69.25,0.061971831,4.291549296
Kaufman High School,899,1167,291.75,0.120231214,35.07745665
Ballinger High School,900,279,69.75,0.070460705,4.914634146
Comal Academy,901,45,11.25,0.108108108,1.216216216
Malakoff High School,902,373,93.25,0.130541872,12.17302956
Idea Monterrey Park College Preparatory,903,635,158.75,0.124203822,19.71735669
Grape Creek High School,904,297,74.25,0.088161209,6.545969773
Santa Anna Secondary School,905,118,29.5,0.092307692,2.723076923
Hale Center High School,906,179,44.75,0.082142857,3.675892857
British International School of Houston,907,900,225,0.245614035,55.26315789
Sunray High School,908,149,37.25,0.083032491,3.092960289
Italy High School,909,288,72,0.084337349,6.072289157
Cameron Yoe High School,910,485,121.25,0.140552995,17.04205069
St. Thomas High School,911,595,148.75,0.201550388,29.98062016
Sands Consolidated School,912,266,66.5,0.089552239,5.955223881
Valley View High School,913,1171,292.75,0.142631579,41.75539474
LEAD Academy,914,184,46,0.111111111,5.111111111
Jayton School,915,169,42.25,0.055555556,2.347222222
Evant High School,916,133,33.25,0.079545455,2.644886364
D'Hanis School,917,353,88.25,0.108843537,9.605442177
Saint Jo High School,918,153,38.25,0.095744681,3.662234043
Plainview High School,919,1470,367.5,0.08091706,29.73701955
Smithville High School,920,558,139.5,0.169172932,23.59962406
Haltom High School,921,2719,679.75,0.120468489,81.8884551
Borger High School,922,756,189,0.087312415,16.50204638
Kaufer High School,923,258,64.5,0.114705882,7.398529412
Rotan High School,924,255,63.75,0.062857143,4.007142857
North Mesquite High School,925,2514,628.5,0.134759655,84.69644346
Boling High School,926,377,94.25,0.080246914,7.563271605
Uplift Infinity Preparatory - High School,927,321,80.25,0.103064067,8.270891365
Harlingen High School South,928,1574,393.5,0.139968279,55.07751784
Henry Ford Academy - Alameda School for Art & Design,929,114,28.5,0.160869565,4.584782609
Por Vida Academy at Corpus Christi,930,37,9.25,0.109756098,1.015243902
Sinton High School,931,620,155,0.114155251,17.69406393
Sonora High School,932,249,62.25,0.107142857,6.669642857
Dallas Lutheran School,933,180,45,0.133640553,6.013824885
Linden-Kildare High School,934,211,52.75,0.090909091,4.795454545
Roosevelt High School,935,296,74,0.103092784,7.628865979
Orangefield High School,936,532,133,0.08974359,11.93589744
Medina Secondary School,937,315,78.75,0.063636364,5.011363636
Water Valley High School,938,131,32.75,0.076923077,2.519230769
Farwell High School,939,173,43.25,0.061538462,2.661538462
Burges High School,940,1505,376.25,0.127582457,48.0028996
Moody High School,941,204,51,0.125,6.375
